Producto;Tiendas;Categoría;Precio;Envío;Año;Fecha;Vendedor;Lugar de Compra;Calificación;Método de pago;Cantidad de cuotas;lat;lon
Asistente virtual;1;Electrónicos;1643000;69000;2021;16-01-2021;Pedro Gomez;Bogotá;4;Tarjeta de crédito;8;460971;-7408175
Mesa de comedor;1;Muebles;1923000;84000;2022;18-05-2022;Beatriz Morales;Medellín;1;Tarjeta de crédito;4;625184;-7556359
Juego de mesa;1;Juguetes;2096000;159000;2021;15-03-2021;Juan Fernandez;Cartagena;1;Tarjeta de crédito;1;1039972;-7551444
Microondas;1;Electrodomésticos;7575000;410000;2022;03-05-2022;Juan Fernandez;Cali;4;Nequi;1;343722;-765225
Silla de oficina;1;Muebles;3352000;202000;2020;07-11-2020;Maria Alfonso;Medellín;5;Nequi;1;625184;-7556359
Bloques de construcción;1;Juguetes;242000;0;2020;03-12-2020;Beatriz Morales;Cali;5;Cupón;1;343722;-765225
Muñeca bebé;1;Juguetes;442000;0;2021;07-08-2021;Juan Fernandez;Bogotá;3;Nequi;1;460971;-7408175
Lavavajillas;1;Electrodomésticos;11897000;637000;2021;18-06-2021;Felipe Santos;Santa Marta;5;Tarjeta de crédito;10;1124079;-7419904
Lavadora de ropa;1;Electrodomésticos;15182000;790000;2022;08-01-2022;Izabela de León;Bogotá;1;Tarjeta de crédito;5;460971;-7408175
Carrito de control remoto;1;Juguetes;752000;51000;2020;24-02-2020;Beatriz Morales;Bogotá;5;Nequi;1;460971;-7408175
Refrigerador;1;Electrodomésticos;24313000;1276000;2020;03-04-2020;Blanca Ramirez;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
Lavavajillas;1;Electrodomésticos;14171000;757000;2021;05-07-2021;Rafael Acosta;Cartagena;5;Tarjeta de crédito;1;1039972;-7551444
Auriculares;1;Electrónicos;918000;53000;2020;20-02-2020;Rafael Acosta;Medellín;1;Tarjeta de crédito;5;625184;-7556359
Olla de presión;1;Artículos para el hogar;667000;17000;2020;10-09-2020;Izabela de León;Pereira;4;Tarjeta de crédito;2;481333;-7569611
Bicicleta;1;Deportes y diversión;6133000;308000;2020;04-09-2020;Juan Fernandez;Bogotá;2;Tarjeta de crédito;8;460971;-7408175
Ciencia de datos con Python;1;Libros;569000;12000;2020;16-12-2020;Izabela de León;Cali;5;Tarjeta de crédito;5;343722;-765225
Balón de voleibol;1;Deportes y diversión;589000;13000;2022;03-05-2022;Pedro Gomez;Medellín;2;Nequi;1;625184;-7556359
Ajedrez de madera;1;Juguetes;296000;18000;2021;22-07-2021;Izabela de León;Santa Marta;5;Tarjeta de crédito;2;1124079;-7419904
TV LED UHD 4K;1;Electrónicos;18917000;1079000;2022;09-01-2022;Beatriz Morales;Bogotá;3;Tarjeta de crédito;5;460971;-7408175
Juego de mesa;1;Juguetes;1389000;98000;2020;10-01-2020;Izabela de León;Medellín;4;Tarjeta de crédito;4;625184;-7556359
Microondas;1;Electrodomésticos;4357000;234000;2021;11-03-2021;Izabela de León;Cali;5;Cupón;1;343722;-765225
Vaso térmico;1;Deportes y diversión;508000;31000;2022;11-07-2022;Camila Rivera;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
Bicicleta;1;Deportes y diversión;5145000;276000;2022;21-04-2022;Maria Alfonso;Medellín;3;Tarjeta de crédito;10;625184;-7556359
Kit de bancas;1;Muebles;2935000;138000;2023;06-03-2023;Camila Rivera;Bogotá;4;Tarjeta de crédito;3;460971;-7408175
Dashboards con Power BI;1;Libros;335000;0;2023;14-02-2023;Pedro Gomez;Medellín;5;Tarjeta de crédito;2;625184;-7556359
Cubertería;1;Artículos para el hogar;479000;33000;2021;20-03-2021;Juan Fernandez;Bogotá;5;Nequi;1;460971;-7408175
Set de ollas;1;Artículos para el hogar;1393000;81000;2023;06-03-2023;Beatriz Morales;Medellín;5;Nequi;1;625184;-7556359
Batería;1;Instrumentos musicales;5839000;293000;2020;14-09-2020;Juliana Costa;Bogotá;1;Tarjeta de crédito;8;460971;-7408175
Cuerda para saltar;1;Deportes y diversión;184000;12000;2020;18-07-2020;Felipe Santos;Barranquilla;1;Tarjeta de crédito;4;1096854;-7478132
Carrito de control remoto;1;Juguetes;791000;24000;2021;15-12-2021;Ángel Rodriguez;Bogotá;4;Cupón;1;460971;-7408175
Estufa;1;Electrodomésticos;5642000;282000;2021;08-09-2021;Mariana Herrera;Medellín;1;Tarjeta de crédito;1;625184;-7556359
Juego de mesa;1;Juguetes;1539000;64000;2021;15-08-2021;Ángel Rodriguez;Medellín;3;Tarjeta de crédito;3;625184;-7556359
Cama box;1;Muebles;3314000;179000;2020;04-02-2020;Felipe Santos;Medellín;2;Tarjeta de crédito;5;625184;-7556359
Vaso térmico;1;Deportes y diversión;556000;77000;2020;26-04-2020;Juliana Costa;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Bloques de construcción;1;Juguetes;247000;17000;2021;13-05-2021;Blanca Ramirez;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
Vaso térmico;1;Deportes y diversión;623000;15000;2022;22-05-2022;Felipe Santos;Medellín;3;Tarjeta de crédito;1;625184;-7556359
Impresora;1;Electrónicos;3002000;162000;2021;16-08-2021;Blanca Ramirez;Bogotá;5;Tarjeta de crédito;8;460971;-7408175
Mesa de noche;1;Muebles;3054000;167000;2021;31-07-2021;Camila Rivera;Cali;5;Tarjeta de crédito;3;343722;-765225
Dashboards con Power BI;1;Libros;305000;75000;2020;17-08-2020;Ángel Rodriguez;Bogotá;5;Tarjeta de crédito;3;460971;-7408175
Cama box;1;Muebles;3272000;156000;2021;21-09-2021;Mariana Herrera;Villavicencio;5;Tarjeta de crédito;1;4142;-7362664
Auriculares;1;Electrónicos;683000;18000;2022;16-09-2022;Rafael Acosta;Cali;5;Cupón;1;343722;-765225
Armario;1;Muebles;5134000;255000;2021;02-08-2021;Mariana Herrera;Cali;5;Tarjeta de crédito;5;343722;-765225
Dinosaurio Rex;1;Juguetes;139000;31000;2021;27-04-2021;Izabela de León;Medellín;4;Nequi;1;625184;-7556359
Microondas;1;Electrodomésticos;3620000;175000;2021;19-02-2021;Juliana Costa;Bogotá;1;Tarjeta de crédito;5;460971;-7408175
Juego de mesa;1;Juguetes;2403000;110000;2022;26-03-2022;Juan Fernandez;Bogotá;4;Tarjeta de crédito;12;460971;-7408175
Bicicleta;1;Deportes y diversión;4283000;210000;2021;17-12-2021;Juliana Costa;Medellín;5;Tarjeta de crédito;1;625184;-7556359
Guitarra eléctrica;1;Instrumentos musicales;6790000;343000;2023;24-02-2023;Juan Fernandez;Inírida;4;Tarjeta de crédito;4;38653;-679239
Set de ollas;1;Artículos para el hogar;1009000;56000;2021;19-07-2021;Mariana Herrera;Medellín;5;Tarjeta de crédito;1;625184;-7556359
Secadora de ropa;1;Electrodomésticos;7397000;399000;2020;05-05-2020;Izabela de León;Cali;5;Nequi;1;343722;-765225
Sofá reclinable;1;Muebles;6300000;317000;2022;26-12-2022;Rafael Acosta;Cúcuta;2;Tarjeta de crédito;10;789391;-7250782
Tablet ABXY;1;Electrónicos;11303000;584000;2023;08-03-2023;Mariana Herrera;Cali;5;Tarjeta de crédito;1;343722;-765225
Kit de bancas;1;Muebles;3189000;172000;2021;19-12-2021;Lucas Olivera;Medellín;5;Nequi;1;625184;-7556359
Impresora;1;Electrónicos;2970000;162000;2022;06-08-2022;Mariana Herrera;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Batería;1;Instrumentos musicales;4022000;218000;2020;30-12-2020;Camila Rivera;Cali;5;Tarjeta de crédito;1;343722;-765225
Cubo mágico 8x8;1;Juguetes;171000;0;2021;03-09-2021;Camila Rivera;Medellín;4;Nequi;1;625184;-7556359
Set de vasos;1;Artículos para el hogar;387000;25000;2020;16-04-2020;Rafael Acosta;Bogotá;1;Tarjeta de crédito;1;460971;-7408175
Tablet ABXY;1;Electrónicos;6058000;335000;2023;14-02-2023;Maria Alfonso;Cúcuta;4;Tarjeta de crédito;1;789391;-7250782
Lavavajillas;1;Electrodomésticos;11227000;600000;2020;28-02-2020;Juan Fernandez;Bogotá;3;Tarjeta de crédito;2;460971;-7408175
Auriculares;1;Electrónicos;1259000;71000;2021;10-12-2021;Felipe Santos;Bogotá;3;Tarjeta de crédito;1;460971;-7408175
Dinosaurio Rex;1;Juguetes;183000;14000;2021;01-07-2021;Blanca Ramirez;Medellín;4;Tarjeta de crédito;6;625184;-7556359
Cuerda para saltar;1;Deportes y diversión;128000;0;2021;25-09-2021;Blanca Ramirez;Manizales;3;Tarjeta de crédito;5;506889;-7551738
Silla de oficina;1;Muebles;4235000;207000;2022;23-05-2022;Blanca Ramirez;Bogotá;5;Cupón;1;460971;-7408175
Impresora;1;Electrónicos;3152000;150000;2022;01-09-2022;Beatriz Morales;Medellín;5;Tarjeta de crédito;5;625184;-7556359
Modelado predictivo;1;Libros;741000;21000;2020;24-08-2020;Felipe Santos;Bogotá;5;Tarjeta de débito;1;460971;-7408175
Mesa de noche;1;Muebles;2938000;160000;2021;17-08-2021;Izabela de León;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Iphone 15;1;Electrónicos;25254000;1350000;2023;03-03-2023;Maria Alfonso;Medellín;4;Tarjeta de crédito;1;625184;-7556359
Secadora de ropa;1;Electrodomésticos;12003000;641000;2022;02-01-2022;Camila Rivera;Medellín;4;Tarjeta de crédito;1;625184;-7556359
Modelado predictivo;1;Libros;530000;10000;2023;31-03-2023;Izabela de León;Cali;3;Tarjeta de crédito;3;343722;-765225
Kit de bancas;1;Muebles;2501000;146000;2020;09-09-2020;Rafael Acosta;Neiva;5;Tarjeta de crédito;7;29273;-7528189
Estufa;1;Electrodomésticos;6809000;344000;2022;05-06-2022;Beatriz Morales;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Mochila;1;Deportes y diversión;1110000;41000;2022;01-02-2022;Juan Fernandez;Bogotá;4;Nequi;1;460971;-7408175
Tablet ABXY;1;Electrónicos;11960000;619000;2023;04-03-2023;Beatriz Morales;Medellín;5;Tarjeta de crédito;10;625184;-7556359
Balón de baloncesto;1;Deportes y diversión;451000;71000;2021;28-01-2021;Santiago Silva;Bucaramanga;4;Cupón;1;712539;-731198
Mesa de noche;1;Muebles;2842000;164000;2022;17-07-2022;Rafael Acosta;Cali;3;Tarjeta de crédito;1;343722;-765225
Armario;1;Muebles;4904000;243000;2021;06-09-2021;Camila Rivera;Bogotá;5;Tarjeta de crédito;3;460971;-7408175
Auriculares con micrófono;1;Electrónicos;1436000;79000;2020;01-05-2020;Blanca Ramirez;Bogotá;1;Tarjeta de crédito;1;460971;-7408175
Auriculares;1;Electrónicos;1391000;76000;2022;28-10-2022;Rafael Acosta;Valledupar;2;Nequi;1;1046314;-7325322
Carrito de control remoto;1;Juguetes;846000;49000;2021;02-11-2021;Pedro Gomez;Medellín;5;Tarjeta de crédito;1;625184;-7556359
Batería;1;Instrumentos musicales;4019000;196000;2023;01-03-2023;Felipe Santos;Medellín;5;Tarjeta de crédito;8;625184;-7556359
Iphone 15;1;Electrónicos;21724000;1139000;2022;11-09-2022;Lucas Olivera;Bogotá;5;Nequi;1;460971;-7408175
Sillón;1;Muebles;2964000;140000;2021;23-01-2021;Mariana Herrera;Barranquilla;4;Tarjeta de crédito;4;1096854;-7478132
Silla de oficina;1;Muebles;3687000;198000;2020;10-12-2020;Juliana Costa;Bogotá;1;Tarjeta de crédito;8;460971;-7408175
